alim_ssgrp_nom_fr,alim_nom_fr,kCal,Prot,Glucides,Lipides,Sucre,Fibres,Acides organiques,Acides gras satur,Ca,Cu,Fe,I,Mg,Mn,P,K,Se,Na,Zn,Beta-carotene,E,C,B1,B2,B3,B5,B6,B9
légumes,"Avocat, pulpe, cru",155,"1,61","3,67","13,8",1,4,"0,3","2,17","11,2","0,25","0,34",< 10,"25,2","0,24","44,4",343,"< 2,58",25,"0,46",60,"1,77","4,07","0,05","0,13","1,2","0,77","0,12","79,9"
légumes,"Bette ou blette, crue","12,3",1,"0,5","< 0,5","0,5","1,8","0,13","< 0,01",25,"0,03","0,85",< 20,17,"0,16",10,300,< 20,"53,2","0,07","25,9","0,25","3,08","< 0,015","0,015","< 0,1","0,2","0,036","24,7"
légumes,"Carotte, crue","36,4","0,77","6,45","0,26","5,42","2,7",-,"0,054","32,6","0,041","0,31",< 5,"11,3","0,25","32,7",301,"0,17",39,"0,22",8290,"0,61","5,84","0,054","0,047","0,99","0,28","0,13","32,3"
légumes,"Champignon, tout type, cru","21,6","2,34","1,88","0,23","1,43","1,72",-,"0,055","7,78","0,32","0,69",1,"10,9","0,061","85,6",341,"< 2,78","4,76","0,65",0,"0,01","3,4","0,084","0,42","4,55","1,75","0,082",29
légumes,"Salade ou chicorée frisée, crue","22,7","1,48","2,4","0,25","0,7","2,45",-,"0,061",76,"0,2","0,85","0,4","22,5","0,42","37,5",367,1,"33,5","0,61",3430,"2,26","18,5","0,07","0,088","0,45","1,03","0,063",126
légumes,"Chou rouge, cru","29,1","1,34","4,5","0,18","3,49","2,05",-,"0,03","44,8","0,024","0,63","0,1",15,"0,22","32,1",268,1,"18,5","0,21",670,"0,09","58,5","0,065","0,06","0,51","0,24","0,18",32
légumes,"Chou-fleur, cru",23,"1,77","2,05","0,31","1,56","2,13","0,22","0,088","26,4","0,033","0,41","0,8","11,9","0,16","46,1",293,"< 2,2","3,69","0,26",0,"0,14","56,6","0,054","0,067","0,55","0,63","0,16",111
légumes,"Concombre, pulpe et peau, cru","13,6","0,64","2,04","0,11","1,34","0,6","0,26","0,035","19,2","0,026","0,13","0,3","13,6","0,085","24,7",157,< 10,"4,8","0,095",45,"0,09","8,25","0,022","0,025","0,15","0,28","0,037","12,3"
légumes,"Courgette, pulpe et peau, crue","16,5","1,22","1,8","0,26","1,79","1,05",-,"0,061","18,7","0,052","0,36","1,64","17,5","0,18","44,7",262,"0,58",9,"0,31",120,"0,12","17,5","0,047","0,12","0,47","0,18","0,19",36
légumes,"Cresson de fontaine, cru","14,9","2,06","0,9","0,15","0,2","0,85",-,"0,027",101,"0,11","0,9","13,5",19,"0,37","64,2",320,-,"50,5","0,16",1910,1,"51,5","0,095","0,11","0,4","0,21","0,13",9
légumes,"Céleri branche, cru","21,5","0,66","3,6","0,19","1,27","1,6",-,"0,04","48,4","0,073","0,3","1,1","9,5","0,1","27,1",289,"0,046",71,"0,12",270,"0,24","6,05","0,028","0,066","0,39","0,32","0,082",32
légumes,"Endive, crue","20,8","1,1","3,15","0,2","2,2",1,-,"0,034","23,9","0,051","0,14",< 10,"12,6","0,098",24,185,< 10,"1,99","0,19",< 50,"0,27","1,5","< 0,05","< 0,05","0,13","0,14","< 0,05","44,1"
légumes,"Fenouil, cru",20,"1,14","2,3","0,2","2,21","2,23",-,"0,046","39,6","0,066","0,53","0,5",14,"0,19","44,4",405,-,"39,5","0,21",578,"0,58","10,5","0,02","0,071","0,42","0,23","0,053","28,5"
légumes,"Laitue, crue","15,1","1,3","1,33","0,2","0,73","1,2","0,13","0,021","64,6","0,036","0,98","1,22","14,9","0,4","29,5",200,"2,33","8,47","0,2",3640,"0,18","11,8","0,067","0,077","0,36","0,14","0,09","43,5"
légumes,"Oignon, cru",39,"1,1","6,25","0,62","4,8","1,7","0,21","0,2",25,"< 0,0001","0,00019",< 10,9,"0,1",37,190,"2,3",39,"0,23",< 50,"0,045","3,9","< 0,05","< 0,05","< 0,05","0,15","0,1","29,6"
légumes,"Pissenlit, cru","48,8","2,84","6,1","0,85","0,71","2,7",-,"0,17","62,3","0,067","3,1","0,4","13,2","0,16",66,397,"< 2,2","87,8","0,21",5850,"3,44","37,5","0,19","0,2","0,8","0,084","0,25",27
